PSnF,PS,PL,PC,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.743,0.698,0.799,0.799,1,35,30,71,0.8,0.022,6,6
0.743,0.698,0.777,0.777,1,39,30,49,0.85,0.022,6,6
0.743,0.698,0.737,0.737,0,47,30,39,0.9,0.022,6,6
0.743,0.698,0.737,0.737,0,47,30,19,0.95,0.022,6,6
0.743,0.615,0.631,0.631,59,7,30,89,0.5,0.045,6,6
0.743,0.615,0.771,0.771,0,41,30,17,0.8,0.045,6,6
0.743,0.615,0.749,0.749,0,45,30,11,0.85,0.045,6,6
0.743,0.615,0.737,0.737,0,47,30,10,0.9,0.045,6,6
0.743,0.615,0.737,0.737,0,47,30,5,0.95,0.045,6,6
0.743,0.615,0.816,0.816,14,19,30,2,0.5,0.18,6,6
0.743,0.615,0.615,0.615,0,69,30,0,0.8,0.18,6,6
0.743,0.615,0.615,0.615,0,69,30,0,0.85,0.18,6,6
0.743,0.615,0.615,0.615,0,69,30,0,0.9,0.18,6,6
0.743,0.615,0.615,0.615,0,69,30,0,0.95,0.18,6,6
0.743,0.709,0.631,0.631,59,7,32,975,0.5,0.0,6,8
0.743,0.709,0.838,0.838,4,25,32,405,0.8,0.0,6,8
0.743,0.709,0.838,0.838,3,26,32,295,0.85,0.0,6,8
0.743,0.709,0.816,0.816,2,31,32,229,0.9,0.0,6,8
0.743,0.709,0.788,0.788,0,38,32,186,0.95,0.0,6,8
0.743,0.709,0.631,0.631,59,7,32,907,0.5,0.001,6,8
0.743,0.709,0.838,0.838,4,25,32,337,0.8,0.001,6,8
0.743,0.709,0.838,0.838,3,26,32,227,0.85,0.001,6,8
0.743,0.709,0.816,0.816,2,31,32,161,0.9,0.001,6,8
0.743,0.709,0.788,0.788,0,38,32,118,0.95,0.001,6,8
0.743,0.709,0.631,0.631,59,7,32,824,0.5,0.003,6,8
0.743,0.709,0.838,0.838,4,25,32,316,0.8,0.003,6,8
0.743,0.709,0.838,0.838,3,26,32,206,0.85,0.003,6,8
0.743,0.709,0.816,0.816,2,31,32,140,0.9,0.003,6,8
0.743,0.709,0.788,0.788,0,38,32,97,0.95,0.003,6,8
0.743,0.709,0.631,0.631,59,7,32,655,0.5,0.006,6,8
0.743,0.709,0.838,0.838,4,25,32,286,0.8,0.006,6,8
0.743,0.709,0.838,0.838,3,26,32,176,0.85,0.006,6,8
0.743,0.709,0.816,0.816,2,31,32,110,0.9,0.006,6,8
0.743,0.709,0.788,0.788,0,38,32,67,0.95,0.006,6,8
0.743,0.709,0.631,0.631,59,7,32,419,0.5,0.011,6,8
0.743,0.709,0.838,0.838,4,25,32,161,0.8,0.011,6,8
0.743,0.709,0.827,0.827,3,28,32,111,0.85,0.011,6,8
0.743,0.709,0.816,0.816,2,31,32,77,0.9,0.011,6,8
0.743,0.709,0.788,0.788,0,38,32,34,0.95,0.011,6,8
0.743,0.698,0.631,0.631,59,7,32,225,0.5,0.022,6,8
0.743,0.698,0.844,0.844,3,25,32,72,0.8,0.022,6,8
0.743,0.698,0.827,0.827,3,28,32,52,0.85,0.022,6,8
0.743,0.698,0.816,0.816,2,31,32,42,0.9,0.022,6,8
0.743,0.698,0.788,0.788,0,38,32,18,0.95,0.022,6,8
0.743,0.615,0.631,0.631,59,7,32,81,0.5,0.045,6,8
0.743,0.615,0.832,0.832,2,28,32,16,0.8,0.045,6,8
0.743,0.615,0.816,0.816,2,31,32,12,0.85,0.045,6,8
0.743,0.615,0.816,0.816,2,31,32,11,0.9,0.045,6,8
0.743,0.615,0.737,0.737,0,47,32,4,0.95,0.045,6,8
0.743,0.615,0.816,0.816,14,19,32,2,0.5,0.18,6,8
0.743,0.615,0.615,0.615,0,69,32,0,0.8,0.18,6,8
0.743,0.615,0.615,0.615,0,69,32,0,0.85,0.18,6,8
0.743,0.615,0.615,0.615,0,69,32,0,0.9,0.18,6,8
0.743,0.615,0.615,0.615,0,69,32,0,0.95,0.18,6,8
0.743,0.709,0.631,0.631,59,7,34,955,0.5,0.0,6,10
0.743,0.709,0.838,0.838,4,25,34,384,0.8,0.0,6,10
0.743,0.709,0.838,0.838,3,26,34,280,0.85,0.0,6,10
0.743,0.709,0.816,0.816,2,31,34,218,0.9,0.0,6,10
0.743,0.709,0.788,0.788,0,38,34,176,0.95,0.0,6,10
0.743,0.709,0.631,0.631,59,7,34,887,0.5,0.001,6,10
0.743,0.709,0.838,0.838,4,25,34,316,0.8,0.001,6,10
0.743,0.709,0.838,0.838,3,26,34,212,0.85,0.001,6,10
0.743,0.709,0.816,0.816,2,31,34,150,0.9,0.001,6,10
0.743,0.709,0.788,0.788,0,38,34,108,0.95,0.001,6,10
0.743,0.709,0.631,0.631,59,7,34,804,0.5,0.003,6,10
0.743,0.709,0.838,0.838,4,25,34,292,0.8,0.003,6,10
0.743,0.709,0.838,0.838,3,26,34,188,0.85,0.003,6,10
0.743,0.709,0.816,0.816,2,31,34,126,0.9,0.003,6,10
0.743,0.709,0.788,0.788,0,38,34,84,0.95,0.003,6,10
0.743,0.709,0.631,0.631,59,7,34,651,0.5,0.006,6,10
0.743,0.709,0.838,0.838,4,25,34,267,0.8,0.006,6,10
0.743,0.709,0.838,0.838,3,26,34,163,0.85,0.006,6,10
0.743,0.709,0.816,0.816,2,31,34,101,0.9,0.006,6,10
0.743,0.709,0.788,0.788,0,38,34,59,0.95,0.006,6,10
0.743,0.709,0.631,0.631,59,7,34,415,0.5,0.011,6,10
0.743,0.709,0.838,0.838,4,25,34,152,0.8,0.011,6,10
0.743,0.709,0.827,0.827,3,28,34,107,0.85,0.011,6,10
0.743,0.709,0.816,0.816,2,31,34,76,0.9,0.011,6,10
0.743,0.709,0.788,0.788,0,38,34,34,0.95,0.011,6,10
0.743,0.698,0.631,0.631,59,7,34,226,0.5,0.022,6,10
0.743,0.698,0.844,0.844,3,25,34,68,0.8,0.022,6,10
0.743,0.698,0.827,0.827,3,28,34,52,0.85,0.022,6,10
0.743,0.698,0.816,0.816,2,31,34,42,0.9,0.022,6,10
0.743,0.698,0.788,0.788,0,38,34,17,0.95,0.022,6,10
0.743,0.615,0.631,0.631,59,7,34,82,0.5,0.045,6,10
0.743,0.615,0.832,0.832,2,28,34,18,0.8,0.045,6,10
0.743,0.615,0.816,0.816,2,31,34,14,0.85,0.045,6,10
0.743,0.615,0.816,0.816,2,31,34,13,0.9,0.045,6,10
0.743,0.615,0.737,0.737,0,47,34,5,0.95,0.045,6,10
0.743,0.615,0.816,0.816,14,19,34,1,0.5,0.18,6,10
0.743,0.615,0.615,0.615,0,69,34,0,0.8,0.18,6,10
0.743,0.615,0.615,0.615,0,69,34,0,0.85,0.18,6,10
0.743,0.615,0.615,0.615,0,69,34,0,0.9,0.18,6,10
0.743,0.615,0.615,0.615,0,69,34,0,0.95,0.18,6,10
0.743,0.709,0.631,0.631,59,7,36,944,0.5,0.0,6,12
0.743,0.709,0.838,0.838,4,25,36,389,0.8,0.0,6,12
0.743,0.709,0.838,0.838,3,26,36,286,0.85,0.0,6,12
0.743,0.709,0.816,0.816,2,31,36,225,0.9,0.0,6,12
0.743,0.709,0.788,0.788,0,38,36,183,0.95,0.0,6,12
0.743,0.709,0.631,0.631,59,7,36,871,0.5,0.001,6,12
0.743,0.709,0.838,0.838,4,25,36,316,0.8,0.001,6,12
0.743,0.709,0.838,0.838,3,26,36,213,0.85,0.001,6,12
0.743,0.709,0.816,0.816,2,31,36,152,0.9,0.001,6,12
0.743,0.709,0.788,0.788,0,38,36,110,0.95,0.001,6,12
0.743,0.709,0.631,0.631,59,7,36,799,0.5,0.003,6,12
0.743,0.709,0.838,0.838,4,25,36,298,0.8,0.003,6,12
0.743,0.709,0.838,0.838,3,26,36,195,0.85,0.003,6,12
0.743,0.709,0.816,0.816,2,31,36,134,0.9,0.003,6,12
0.743,0.709,0.788,0.788,0,38,36,92,0.95,0.003,6,12
0.743,0.709,0.631,0.631,59,7,36,637,0.5,0.006,6,12
0.743,0.709,0.838,0.838,4,25,36,261,0.8,0.006,6,12
0.743,0.709,0.838,0.838,3,26,36,158,0.85,0.006,6,12
0.743,0.709,0.816,0.816,2,31,36,97,0.9,0.006,6,12
0.743,0.709,0.788,0.788,0,38,36,55,0.95,0.006,6,12
0.743,0.709,0.631,0.631,59,7,36,405,0.5,0.011,6,12
0.743,0.709,0.838,0.838,4,25,36,149,0.8,0.011,6,12
0.743,0.709,0.827,0.827,3,28,36,103,0.85,0.011,6,12
0.743,0.709,0.816,0.816,2,31,36,74,0.9,0.011,6,12
0.743,0.709,0.788,0.788,0,38,36,32,0.95,0.011,6,12
0.743,0.698,0.631,0.631,59,7,36,219,0.5,0.022,6,12
0.743,0.698,0.844,0.844,3,25,36,66,0.8,0.022,6,12
0.743,0.698,0.827,0.827,3,28,36,50,0.85,0.022,6,12
0.743,0.698,0.816,0.816,2,31,36,40,0.9,0.022,6,12
0.743,0.698,0.788,0.788,0,38,36,16,0.95,0.022,6,12
0.743,0.615,0.631,0.631,59,7,36,81,0.5,0.045,6,12
0.743,0.615,0.832,0.832,2,28,36,18,0.8,0.045,6,12
0.743,0.615,0.816,0.816,2,31,36,14,0.85,0.045,6,12
0.743,0.615,0.816,0.816,2,31,36,12,0.9,0.045,6,12
0.743,0.615,0.737,0.737,0,47,36,5,0.95,0.045,6,12
0.743,0.615,0.816,0.816,14,19,36,1,0.5,0.18,6,12
0.743,0.615,0.615,0.615,0,69,36,0,0.8,0.18,6,12
0.743,0.615,0.615,0.615,0,69,36,0,0.85,0.18,6,12
0.743,0.615,0.615,0.615,0,69,36,0,0.9,0.18,6,12
0.743,0.615,0.615,0.615,0,69,36,0,0.95,0.18,6,12
0.743,0.726,0.631,0.631,59,7,38,997,0.5,0.0,6,14
0.743,0.726,0.832,0.832,5,25,38,410,0.8,0.0,6,14
0.743,0.726,0.832,0.832,4,26,38,308,0.85,0.0,6,14
0.743,0.726,0.81,0.81,3,31,38,245,0.9,0.0,6,14
0.743,0.726,0.788,0.799,0,36,38,209,0.95,0.0,6,14
0.743,0.726,0.631,0.631,59,7,38,914,0.5,0.001,6,14
0.743,0.726,0.832,0.832,5,25,38,327,0.8,0.001,6,14
0.743,0.726,0.832,0.832,4,26,38,225,0.85,0.001,6,14
0.743,0.726,0.81,0.81,3,31,38,162,0.9,0.001,6,14
0.743,0.726,0.788,0.799,0,36,38,126,0.95,0.001,6,14
0.743,0.726,0.631,0.631,59,7,38,812,0.5,0.003,6,14
0.743,0.726,0.832,0.832,5,25,38,295,0.8,0.003,6,14
0.743,0.726,0.832,0.832,4,26,38,193,0.85,0.003,6,14
0.743,0.726,0.81,0.81,3,31,38,130,0.9,0.003,6,14
0.743,0.726,0.788,0.799,0,36,38,94,0.95,0.003,6,14
0.743,0.726,0.631,0.631,59,7,38,640,0.5,0.006,6,14
0.743,0.726,0.832,0.832,5,25,38,260,0.8,0.006,6,14
0.743,0.726,0.832,0.832,4,26,38,158,0.85,0.006,6,14
0.743,0.726,0.81,0.81,3,31,38,95,0.9,0.006,6,14
0.743,0.726,0.788,0.799,0,36,38,59,0.95,0.006,6,14
0.743,0.709,0.631,0.631,59,7,38,397,0.5,0.011,6,14
0.743,0.709,0.832,0.832,5,25,38,149,0.8,0.011,6,14
0.743,0.709,0.821,0.821,4,28,38,99,0.85,0.011,6,14
0.743,0.709,0.81,0.81,3,31,38,69,0.9,0.011,6,14
0.743,0.709,0.788,0.788,0,38,38,33,0.95,0.011,6,14
0.743,0.698,0.631,0.631,59,7,38,212,0.5,0.022,6,14
0.743,0.698,0.844,0.844,3,25,38,60,0.8,0.022,6,14
0.743,0.698,0.827,0.827,3,28,38,44,0.85,0.022,6,14
0.743,0.698,0.816,0.816,2,31,38,35,0.9,0.022,6,14
0.743,0.698,0.788,0.788,0,38,38,15,0.95,0.022,6,14
0.743,0.615,0.631,0.631,59,7,38,76,0.5,0.045,6,14
0.743,0.615,0.832,0.832,2,28,38,16,0.8,0.045,6,14
0.743,0.615,0.816,0.816,2,31,38,12,0.85,0.045,6,14
0.743,0.615,0.816,0.816,2,31,38,11,0.9,0.045,6,14
0.743,0.615,0.737,0.737,0,47,38,4,0.95,0.045,6,14
0.743,0.615,0.816,0.816,14,19,38,1,0.5,0.18,6,14
0.743,0.615,0.615,0.615,0,69,38,0,0.8,0.18,6,14
0.743,0.615,0.615,0.615,0,69,38,0,0.85,0.18,6,14
0.743,0.615,0.615,0.615,0,69,38,0,0.9,0.18,6,14
0.743,0.615,0.615,0.615,0,69,38,0,0.95,0.18,6,14
0.743,0.743,0.631,0.631,59,7,40,1061,0.5,0.0,6,16
0.743,0.743,0.832,0.832,5,25,40,441,0.8,0.0,6,16
0.743,0.743,0.832,0.832,4,26,40,337,0.85,0.0,6,16
0.743,0.743,0.81,0.81,3,31,40,276,0.9,0.0,6,16
0.743,0.743,0.788,0.799,0,36,40,231,0.95,0.0,6,16
0.743,0.743,0.631,0.631,59,7,40,974,0.5,0.001,6,16
0.743,0.743,0.832,0.832,5,25,40,354,0.8,0.001,6,16
0.743,0.743,0.832,0.832,4,26,40,250,0.85,0.001,6,16
0.743,0.743,0.81,0.81,3,31,40,189,0.9,0.001,6,16
0.743,0.743,0.788,0.799,0,36,40,144,0.95,0.001,6,16
0.743,0.743,0.631,0.631,59,7,40,873,0.5,0.003,6,16
0.743,0.743,0.832,0.832,5,25,40,326,0.8,0.003,6,16
0.743,0.743,0.832,0.832,4,26,40,222,0.85,0.003,6,16
0.743,0.743,0.81,0.81,3,31,40,161,0.9,0.003,6,16
0.743,0.743,0.788,0.799,0,36,40,116,0.95,0.003,6,16
0.743,0.743,0.631,0.631,59,7,40,673,0.5,0.006,6,16
0.743,0.743,0.832,0.832,5,25,40,278,0.8,0.006,6,16
0.743,0.743,0.832,0.832,4,26,40,174,0.85,0.006,6,16
0.743,0.743,0.81,0.81,3,31,40,113,0.9,0.006,6,16
0.743,0.743,0.788,0.799,0,36,40,68,0.95,0.006,6,16
0.743,0.726,0.631,0.631,59,7,40,413,0.5,0.011,6,16
0.743,0.726,0.832,0.832,5,25,40,158,0.8,0.011,6,16
0.743,0.726,0.821,0.821,4,28,40,109,0.85,0.011,6,16
0.743,0.726,0.81,0.81,3,31,40,80,0.9,0.011,6,16
0.743,0.726,0.788,0.788,0,38,40,35,0.95,0.011,6,16
0.743,0.698,0.631,0.631,59,7,40,221,0.5,0.022,6,16
0.743,0.698,0.844,0.844,3,25,40,69,0.8,0.022,6,16
0.743,0.698,0.827,0.827,3,28,40,52,0.85,0.022,6,16
0.743,0.698,0.816,0.816,2,31,40,42,0.9,0.022,6,16
0.743,0.698,0.788,0.788,0,38,40,16,0.95,0.022,6,16
0.743,0.615,0.631,0.631,59,7,40,77,0.5,0.045,6,16
0.743,0.615,0.832,0.832,2,28,40,18,0.8,0.045,6,16
0.743,0.615,0.816,0.816,2,31,40,14,0.85,0.045,6,16
0.743,0.615,0.816,0.816,2,31,40,13,0.9,0.045,6,16
0.743,0.615,0.737,0.737,0,47,40,4,0.95,0.045,6,16
0.743,0.615,0.816,0.816,14,19,40,1,0.5,0.18,6,16
0.743,0.615,0.615,0.615,0,69,40,0,0.8,0.18,6,16
0.743,0.615,0.615,0.615,0,69,40,0,0.85,0.18,6,16
0.743,0.615,0.615,0.615,0,69,40,0,0.9,0.18,6,16
0.743,0.615,0.615,0.615,0,69,40,0,0.95,0.18,6,16
0.743,0.743,0.631,0.631,59,7,42,1074,0.5,0.0,6,18
0.743,0.743,0.832,0.832,5,25,42,446,0.8,0.0,6,18
0.743,0.743,0.832,0.832,4,26,42,341,0.85,0.0,6,18
0.743,0.743,0.81,0.81,3,31,42,278,0.9,0.0,6,18
0.743,0.743,0.788,0.799,0,36,42,236,0.95,0.0,6,18
0.743,0.743,0.631,0.631,59,7,42,983,0.5,0.001,6,18
0.743,0.743,0.832,0.832,5,25,42,355,0.8,0.001,6,18
0.743,0.743,0.832,0.832,4,26,42,250,0.85,0.001,6,18
0.743,0.743,0.81,0.81,3,31,42,187,0.9,0.001,6,18
0.743,0.743,0.788,0.799,0,36,42,145,0.95,0.001,6,18
0.743,0.743,0.631,0.631,59,7,42,880,0.5,0.003,6,18
0.743,0.743,0.832,0.832,5,25,42,321,0.8,0.003,6,18
0.743,0.743,0.832,0.832,4,26,42,216,0.85,0.003,6,18
0.743,0.743,0.81,0.81,3,31,42,153,0.9,0.003,6,18
0.743,0.743,0.788,0.799,0,36,42,111,0.95,0.003,6,18
0.743,0.743,0.631,0.631,59,7,42,681,0.5,0.006,6,18
0.743,0.743,0.832,0.832,5,25,42,280,0.8,0.006,6,18
0.743,0.743,0.832,0.832,4,26,42,175,0.85,0.006,6,18
0.743,0.743,0.81,0.81,3,31,42,112,0.9,0.006,6,18
0.743,0.743,0.788,0.799,0,36,42,70,0.95,0.006,6,18
0.743,0.726,0.631,0.631,59,7,42,419,0.5,0.011,6,18
0.743,0.726,0.832,0.832,5,25,42,151,0.8,0.011,6,18
0.743,0.726,0.821,0.821,4,28,42,103,0.85,0.011,6,18
0.743,0.726,0.81,0.81,3,31,42,76,0.9,0.011,6,18
0.743,0.726,0.788,0.788,0,38,42,34,0.95,0.011,6,18
0.743,0.698,0.631,0.631,59,7,42,212,0.5,0.022,6,18
0.743,0.698,0.844,0.844,3,25,42,65,0.8,0.022,6,18
0.743,0.698,0.827,0.827,3,28,42,49,0.85,0.022,6,18
0.743,0.698,0.816,0.816,2,31,42,41,0.9,0.022,6,18
0.743,0.698,0.788,0.788,0,38,42,15,0.95,0.022,6,18
0.743,0.615,0.631,0.631,59,7,42,78,0.5,0.045,6,18
0.743,0.615,0.832,0.832,2,28,42,18,0.8,0.045,6,18
0.743,0.615,0.816,0.816,2,31,42,14,0.85,0.045,6,18
0.743,0.615,0.816,0.816,2,31,42,13,0.9,0.045,6,18
0.743,0.615,0.737,0.737,0,47,42,4,0.95,0.045,6,18
0.743,0.615,0.816,0.816,14,19,42,1,0.5,0.18,6,18
0.743,0.615,0.615,0.615,0,69,42,0,0.8,0.18,6,18
0.743,0.615,0.615,0.615,0,69,42,0,0.85,0.18,6,18
0.743,0.615,0.615,0.615,0,69,42,0,0.9,0.18,6,18
0.743,0.615,0.615,0.615,0,69,42,0,0.95,0.18,6,18
0.743,0.709,0.631,0.631,59,7,30,902,0.5,0.0,8,4
0.743,0.709,0.793,0.793,2,35,30,354,0.8,0.0,8,4
0.743,0.709,0.793,0.793,1,36,30,274,0.85,0.0,8,4
0.743,0.709,0.737,0.737,0,47,30,220,0.9,0.0,8,4
0.743,0.709,0.737,0.737,0,47,30,177,0.95,0.0,8,4
0.743,0.709,0.631,0.631,59,7,30,834,0.5,0.001,8,4
0.743,0.709,0.793,0.793,2,35,30,286,0.8,0.001,8,4
0.743,0.709,0.793,0.793,1,36,30,206,0.85,0.001,8,4
0.743,0.709,0.737,0.737,0,47,30,152,0.9,0.001,8,4
0.743,0.709,0.737,0.737,0,47,30,109,0.95,0.001,8,4
0.743,0.709,0.631,0.631,59,7,30,766,0.5,0.003,8,4
0.743,0.709,0.793,0.793,2,35,30,263,0.8,0.003,8,4
0.743,0.709,0.793,0.793,1,36,30,183,0.85,0.003,8,4
0.743,0.709,0.737,0.737,0,47,30,129,0.9,0.003,8,4
0.743,0.709,0.737,0.737,0,47,30,86,0.95,0.003,8,4
0.743,0.709,0.631,0.631,59,7,30,628,0.5,0.006,8,4
0.743,0.709,0.793,0.793,2,35,30,236,0.8,0.006,8,4
0.743,0.709,0.793,0.793,1,36,30,156,0.85,0.006,8,4
0.743,0.709,0.737,0.737,0,47,30,102,0.9,0.006,8,4
0.743,0.709,0.737,0.737,0,47,30,59,0.95,0.006,8,4
0.743,0.709,0.631,0.631,59,7,30,423,0.5,0.011,8,4
0.743,0.709,0.793,0.793,2,35,30,147,0.8,0.011,8,4
0.743,0.709,0.777,0.777,1,39,30,108,0.85,0.011,8,4
0.743,0.709,0.737,0.737,0,47,30,79,0.9,0.011,8,4
0.743,0.709,0.737,0.737,0,47,30,36,0.95,0.011,8,4
0.743,0.698,0.631,0.631,59,7,30,223,0.5,0.022,8,4
0.743,0.698,0.799,0.799,1,35,30,68,0.8,0.022,8,4
0.743,0.698,0.777,0.777,1,39,30,52,0.85,0.022,8,4
0.743,0.698,0.737,0.737,0,47,30,43,0.9,0.022,8,4
0.743,0.698,0.737,0.737,0,47,30,20,0.95,0.022,8,4
0.743,0.615,0.631,0.631,59,7,30,90,0.5,0.045,8,4
0.743,0.615,0.771,0.771,0,41,30,15,0.8,0.045,8,4
0.743,0.615,0.749,0.749,0,45,30,12,0.85,0.045,8,4
0.743,0.615,0.737,0.737,0,47,30,11,0.9,0.045,8,4
0.743,0.615,0.737,0.737,0,47,30,6,0.95,0.045,8,4
0.743,0.615,0.816,0.816,14,19,30,2,0.5,0.18,8,4
0.743,0.615,0.615,0.615,0,69,30,0,0.8,0.18,8,4
0.743,0.615,0.615,0.615,0,69,30,0,0.85,0.18,8,4
0.743,0.615,0.615,0.615,0,69,30,0,0.9,0.18,8,4
0.743,0.615,0.615,0.615,0,69,30,0,0.95,0.18,8,4
0.743,0.709,0.631,0.631,59,7,32,959,0.5,0.0,8,6
0.743,0.709,0.793,0.793,2,35,32,379,0.8,0.0,8,6
0.743,0.709,0.793,0.793,1,36,32,292,0.85,0.0,8,6
0.743,0.709,0.737,0.737,0,47,32,242,0.9,0.0,8,6
0.743,0.709,0.737,0.737,0,47,32,194,0.95,0.0,8,6
0.743,0.709,0.631,0.631,59,7,32,885,0.5,0.001,8,6
0.743,0.709,0.793,0.793,2,35,32,305,0.8,0.001,8,6
0.743,0.709,0.793,0.793,1,36,32,218,0.85,0.001,8,6
0.743,0.709,0.737,0.737,0,47,32,168,0.9,0.001,8,6
0.743,0.709,0.737,0.737,0,47,32,120,0.95,0.001,8,6
0.743,0.709,0.631,0.631,59,7,32,806,0.5,0.003,8,6
0.743,0.709,0.793,0.793,2,35,32,277,0.8,0.003,8,6
0.743,0.709,0.793,0.793,1,36,32,190,0.85,0.003,8,6
0.743,0.709,0.737,0.737,0,47,32,140,0.9,0.003,8,6
0.743,0.709,0.737,0.737,0,47,32,92,0.95,0.003,8,6
0.743,0.709,0.631,0.631,59,7,32,647,0.5,0.006,8,6
0.743,0.709,0.793,0.793,2,35,32,245,0.8,0.006,8,6
0.743,0.709,0.793,0.793,1,36,32,158,0.85,0.006,8,6
0.743,0.709,0.737,0.737,0,47,32,108,0.9,0.006,8,6
0.743,0.709,0.737,0.737,0,47,32,60,0.95,0.006,8,6
0.743,0.709,0.631,0.631,59,7,32,424,0.5,0.011,8,6
0.743,0.709,0.793,0.793,2,35,32,148,0.8,0.011,8,6
0.743,0.709,0.777,0.777,1,39,32,109,0.85,0.011,8,6
0.743,0.709,0.737,0.737,0,47,32,84,0.9,0.011,8,6
0.743,0.709,0.737,0.737,0,47,32,36,0.95,0.011,8,6
0.743,0.698,0.631,0.631,59,7,32,208,0.5,0.022,8,6
0.743,0.698,0.799,0.799,1,35,32,62,0.8,0.022,8,6
0.743,0.698,0.777,0.777,1,39,32,49,0.85,0.022,8,6
0.743,0.698,0.737,0.737,0,47,32,41,0.9,0.022,8,6
0.743,0.698,0.737,0.737,0,47,32,18,0.95,0.022,8,6
0.743,0.615,0.631,0.631,59,7,32,81,0.5,0.045,8,6
0.743,0.615,0.771,0.771,0,41,32,13,0.8,0.045,8,6
0.743,0.615,0.749,0.749,0,45,32,11,0.85,0.045,8,6
0.743,0.615,0.737,0.737,0,47,32,10,0.9,0.045,8,6
0.743,0.615,0.737,0.737,0,47,32,5,0.95,0.045,8,6
0.743,0.615,0.816,0.816,14,19,32,2,0.5,0.18,8,6
0.743,0.615,0.615,0.615,0,69,32,0,0.8,0.18,8,6
0.743,0.615,0.615,0.615,0,69,32,0,0.85,0.18,8,6
0.743,0.615,0.615,0.615,0,69,32,0,0.9,0.18,8,6
0.743,0.615,0.615,0.615,0,69,32,0,0.95,0.18,8,6
0.743,0.709,0.631,0.631,59,7,34,1016,0.5,0.0,8,8
0.743,0.709,0.838,0.838,4,25,34,417,0.8,0.0,8,8
0.743,0.709,0.838,0.838,3,26,34,323,0.85,0.0,8,8
0.743,0.709,0.816,0.816,2,31,34,269,0.9,0.0,8,8
0.743,0.709,0.788,0.788,0,38,34,217,0.95,0.0,8,8
0.743,0.709,0.631,0.631,59,7,34,936,0.5,0.001,8,8
0.743,0.709,0.838,0.838,4,25,34,337,0.8,0.001,8,8
0.743,0.709,0.838,0.838,3,26,34,243,0.85,0.001,8,8
0.743,0.709,0.816,0.816,2,31,34,189,0.9,0.001,8,8
0.743,0.709,0.788,0.788,0,38,34,137,0.95,0.001,8,8
0.743,0.709,0.631,0.631,59,7,34,845,0.5,0.003,8,8
0.743,0.709,0.838,0.838,4,25,34,301,0.8,0.003,8,8
0.743,0.709,0.838,0.838,3,26,34,207,0.85,0.003,8,8
0.743,0.709,0.816,0.816,2,31,34,153,0.9,0.003,8,8
0.743,0.709,0.788,0.788,0,38,34,101,0.95,0.003,8,8
0.743,0.709,0.631,0.631,59,7,34,661,0.5,0.006,8,8
0.743,0.709,0.838,0.838,4,25,34,263,0.8,0.006,8,8
0.743,0.709,0.838,0.838,3,26,34,169,0.85,0.006,8,8
0.743,0.709,0.816,0.816,2,31,34,115,0.9,0.006,8,8
0.743,0.709,0.788,0.788,0,38,34,63,0.95,0.006,8,8
0.743,0.709,0.631,0.631,59,7,34,419,0.5,0.011,8,8
0.743,0.709,0.838,0.838,4,25,34,154,0.8,0.011,8,8
0.743,0.709,0.827,0.827,3,28,34,113,0.85,0.011,8,8
0.743,0.709,0.816,0.816,2,31,34,84,0.9,0.011,8,8
0.743,0.709,0.788,0.788,0,38,34,32,0.95,0.011,8,8
0.743,0.698,0.631,0.631,59,7,34,209,0.5,0.022,8,8
0.743,0.698,0.844,0.844,3,25,34,69,0.8,0.022,8,8
0.743,0.698,0.827,0.827,3,28,34,54,0.85,0.022,8,8
0.743,0.698,0.816,0.816,2,31,34,46,0.9,0.022,8,8
0.743,0.698,0.788,0.788,0,38,34,17,0.95,0.022,8,8
0.743,0.615,0.631,0.631,59,7,34,77,0.5,0.045,8,8
0.743,0.615,0.832,0.832,2,28,34,14,0.8,0.045,8,8
0.743,0.615,0.816,0.816,2,31,34,12,0.85,0.045,8,8
0.743,0.615,0.816,0.816,2,31,34,11,0.9,0.045,8,8
0.743,0.615,0.737,0.737,0,47,34,4,0.95,0.045,8,8
0.743,0.615,0.816,0.816,14,19,34,2,0.5,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.8,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.85,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.9,0.18,8,8
0.743,0.615,0.615,0.615,0,69,34,0,0.95,0.18,8,8
0.743,0.709,0.631,0.631,59,7,36,999,0.5,0.0,8,10
0.743,0.709,0.838,0.838,4,25,36,408,0.8,0.0,8,10
0.743,0.709,0.838,0.838,3,26,36,311,0.85,0.0,8,10
0.743,0.709,0.816,0.816,2,31,36,259,0.9,0.0,8,10
0.743,0.709,0.788,0.788,0,38,36,207,0.95,0.0,8,10
0.743,0.709,0.631,0.631,59,7,36,921,0.5,0.001,8,10
0.743,0.709,0.838,0.838,4,25,36,330,0.8,0.001,8,10
0.743,0.709,0.838,0.838,3,26,36,233,0.85,0.001,8,10
0.743,0.709,0.816,0.816,2,31,36,181,0.9,0.001,8,10
0.743,0.709,0.788,0.788,0,38,36,129,0.95,0.001,8,10
0.743,0.709,0.631,0.631,59,7,36,830,0.5,0.003,8,10
0.743,0.709,0.838,0.838,4,25,36,292,0.8,0.003,8,10
0.743,0.709,0.838,0.838,3,26,36,195,0.85,0.003,8,10
